City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hambantota,6.1241,81.1185,79.9,84,100,12.91,LK,1659200061
Sulphur,30.2366,-93.3774,80.58,60,100,2.26,US,1659200063
Camacha,33.0833,-16.3333,69.22,83,40,14.97,PT,1659200065
Nicolás R Casillas,20.5333,-103.4667,72.52,63,94,4.81,MX,1659200068
Khāsh,28.2211,61.2158,81.27,52,79,6.44,IR,1659200070
Aldan,58.6031,125.3894,60.78,69,39,7.74,RU,1659200072
Pisco,-13.7,-76.2167,62.65,77,0,9.22,PE,1659200075
Nuristan,35.3,70.8333,51.13,75,32,3.2,AF,1659200077
Kīhei,20.785,-156.4656,77.65,75,73,4.38,US,1659200079
Kalmar,56.6616,16.3616,70.14,58,27,9.22,SE,1659200082
Sangīn,32.0728,64.8359,97.66,14,22,8.08,AF,1659200084
Folldal,62.1325,9.9968,64.94,44,58,16.46,NO,1659200086
Kiryat Gat,31.61,34.7642,84.81,100,0,8.14,IL,1659199801
Lugazi,0.3772,32.9197,66.24,87,77,0.67,UG,1659200091
Yar-Sale,66.8333,70.8333,53.55,65,2,10.54,RU,1659200093
Dongli,23.5656,116.8194,84.18,84,24,4.47,CN,1659200095
Helmstedt,52.2279,11.0099,75.07,77,100,3.76,DE,1659200098
Ostrovnoy,68.0531,39.5131,55.71,97,65,7.36,RU,1659199991
Sarangani,5.4033,125.4636,79.41,85,100,10.56,PH,1659200102
Hualmay,-11.0964,-77.6139,66.96,69,15,7.47,PE,1659200104
Port Lincoln,-34.7333,135.8667,54.21,78,100,13.6,AU,1659200107
Malindi,-3.2175,40.1191,75.06,85,56,13.51,KE,1659200109
Manadhoo,5.7667,73.3833,80.46,82,84,15.23,MV,1659200111
Cidreira,-30.1811,-50.2056,59.77,60,1,4.76,BR,1659200114
Valparaíso,-33.0393,-71.6273,55.04,94,100,8.05,CL,1659200116
Cabimas,10.3883,-71.4399,87.64,63,28,7.63,VE,1659200119
Krk,45.0258,14.5731,83.39,56,6,7.43,HR,1659200121
Indian Head,38.6001,-77.1622,88.05,49,0,6.91,US,1659200123
Kapoeta,4.7717,33.5903,71.13,90,97,6.87,SS,1659200125
Ryōtsu-minato,38.0833,138.4333,78.49,82,0,0.83,JP,1659200128
Fuyu,45.1833,124.8167,71.33,97,6,8.46,CN,1659200130
Torremolinos,36.6204,-4.4998,85.82,72,20,8.05,ES,1659200133
Yuancheng,36.652,107.7896,70.39,77,78,5.53,CN,1659200135
The Pas,53.8251,-101.2541,64.42,94,100,4.61,CA,1659200137
Krutinka,56.0055,71.5113,59.22,95,28,7.87,RU,1659200140
Champerico,14.3,-91.9167,90.14,74,67,6.42,GT,1659200142
Jalu,29.0331,21.5482,96.51,13,0,10.18,LY,1659200144
Kropotkin,45.4375,40.5756,84.02,39,40,13.33,RU,1659200147
Dori,14.0354,-0.0345,94.08,35,1,9.35,BF,1659200149
Guerrero Negro,27.9769,-114.0611,77.07,54,56,6.15,MX,1659200151
Palu,-0.8917,119.8707,76.12,96,98,1.81,ID,1659200154
Kahului,20.8947,-156.47,71.62,68,20,6.91,US,1659199987
Caraquet,47.7941,-64.9386,68.54,65,39,8.66,CA,1659200158
Taylorville,39.5489,-89.2945,79.79,50,40,0.0,US,1659200039
San Cristobal,7.7669,-72.225,80.78,44,33,7.76,VE,1659200162
Freeport,40.6576,-73.5832,88.57,41,6,5.99,US,1659200165
Aljezur,37.3191,-8.8033,76.6,61,4,7.27,PT,1659200167
Pangnirtung,66.1451,-65.7125,60.8,59,75,14.97,CA,1659200169
Estelle,29.8458,-90.1067,91.0,71,75,11.5,US,1659200172
Kościan,52.0883,16.6487,64.33,95,100,11.63,PL,1659200174
Bintulu,3.1667,113.0333,77.41,100,20,0.0,MY,1659200062
Broome,42.2506,-75.833,79.7,56,75,11.5,US,1659199911
Lukovetskiy,64.2956,41.9211,61.9,90,99,5.39,RU,1659200181
Cabo San Lucas,22.8909,-109.9124,84.9,56,94,4.88,MX,1659200183
Sault Ste. Marie,46.5168,-84.3333,71.42,64,40,5.75,CA,1659200185
Newcastle,-32.9272,151.7765,50.72,93,19,3.44,AU,1659200188
Severo-Kuril'sk,50.6789,156.125,51.94,93,80,7.05,RU,1659200190
Fortuna,40.5982,-124.1573,60.66,97,100,0.0,US,1659200192
Udachny,66.4167,112.4,66.45,88,98,4.32,RU,1659200195
Toshkivka,48.7791,38.579,75.85,36,64,13.49,UA,1659200197
Alofi,-19.0595,-169.9187,73.29,88,2,9.22,NU,1659200199
Lobito,-12.3481,13.5456,69.73,82,8,8.25,AO,1659200202
Gumdag,39.2061,54.5906,87.31,40,0,13.58,TM,1659200204
Manokwari,-0.8667,134.0833,79.7,72,99,7.0,ID,1659200206
Inuvik,68.3499,-133.7218,41.86,84,75,5.75,CA,1659200209
Pinega,64.7001,43.3936,61.43,90,93,5.1,RU,1659200211
Jatai,-17.8814,-51.7144,82.44,31,0,4.54,BR,1659200213
Mayya,61.7333,130.2811,69.12,88,80,4.97,RU,1659200216
Biak,-0.9131,122.8766,74.93,89,80,6.22,ID,1659200218
Forsytheganj,52.6333,29.7333,68.67,71,93,6.24,BY,1659200220
Libreville,0.3925,9.4537,76.77,76,41,9.98,GA,1659200223
Tezu,27.9167,96.1667,76.46,98,79,3.13,IN,1659200225
Najrān,17.4924,44.1277,95.65,31,93,11.54,SA,1659200227
El Batey,19.7667,-70.5167,87.78,70,75,17.27,DO,1659200230
Gouré,13.9835,10.2704,76.17,62,96,14.14,NE,1659200232
Lodja,-3.4833,23.4333,77.5,64,71,3.6,CD,1659200234
Codrington,-38.2667,141.9667,49.1,76,100,16.96,AU,1659200237
Trat,12.5,102.5,87.13,93,92,1.28,TH,1659200239
Torbay,47.6666,-52.7314,68.95,92,100,19.57,CA,1659200242
Safi,32.2994,-9.2372,78.21,68,0,21.72,MA,1659200244
Sept-Îles,50.2001,-66.3821,68.52,85,75,9.22,CA,1659200247
Bafoulabé,13.8065,-10.8321,81.77,75,99,5.91,ML,1659200249
Asău,46.4333,26.4,74.32,83,74,3.62,RO,1659200251
Moussoro,13.6408,16.4901,88.97,46,88,11.12,TD,1659200253
Beian,63.6559,9.5683,67.98,82,40,11.5,NO,1659200256
Aseri,59.4506,26.8675,63.75,64,5,13.33,EE,1659200258
Azángaro,-14.9167,-70.2167,62.15,11,63,5.44,PE,1659200260
Paamiut,61.994,-49.6678,42.49,96,96,9.4,GL,1659200263
Pangai,-19.8,-174.35,77.05,88,5,19.01,TO,1659200265
Launceston,-41.45,147.1667,47.16,86,100,9.22,AU,1659200268
Rengo,-34.4167,-70.8667,48.52,63,100,4.05,CL,1659200270
Kysyl-Syr,63.8986,122.7617,63.21,92,62,4.68,RU,1659200272
Touros,-5.1989,-35.4608,77.99,83,78,11.61,BR,1659200274
Stephenville,32.2207,-98.2023,96.76,36,0,10.36,US,1659200067
Norden,53.6,7.2,72.14,75,100,10.89,DE,1659200279
Dingle,10.9995,122.6711,75.6,86,97,3.76,PH,1659200281
Puerto Colombia,10.9878,-74.9547,89.69,70,6,13.35,CO,1659200284
Solnechnyy,50.7214,136.6319,63.1,97,16,5.7,RU,1659200284
Husavik,66.0449,-17.3389,43.39,91,100,24.02,IS,1659200236
Tommot,58.9564,126.2925,62.92,72,47,2.55,RU,1659200290
Port Augusta,-32.5,137.7667,57.58,33,100,19.98,AU,1659200293
Rurrenabaque,-14.4413,-67.5278,84.09,35,80,2.75,BO,1659200295
Nanortalik,60.1432,-45.2371,46.76,86,14,11.61,GL,1659200298
Fichē,9.8,38.7333,53.49,79,50,3.53,ET,1659200300
Totness,5.8833,-56.3167,84.06,67,49,7.31,SR,1659200302
Balikpapan,-1.2675,116.8289,76.19,100,40,4.61,ID,1659200305
Kruisfontein,-34.0033,24.7314,53.56,63,58,15.01,ZA,1659200307
Cairns,-16.9167,145.7667,69.75,89,100,10.36,AU,1659200115
San Jose,37.3394,-121.895,73.85,71,75,3.0,US,1659200244
Meulaboh,4.1363,96.1285,78.66,83,100,1.61,ID,1659200314
Chifeng,42.2683,118.9636,70.9,82,1,4.25,CN,1659200316
Kouango,4.9934,19.9619,73.4,92,59,3.56,CF,1659200318
Wiwilí,13.6268,-85.8254,83.08,68,50,5.64,NI,1659200321
Ternate,0.8,127.4,79.83,80,98,3.6,ID,1659200323
Marsh Harbour,26.5412,-77.0636,84.24,69,28,14.67,BS,1659200325
Aklavik,68.2191,-135.0107,44.6,81,100,0.0,CA,1659200328
Bontang,0.1333,117.5,77.2,89,100,7.11,ID,1659200330
Myski,53.709,87.8014,62.67,90,14,2.48,RU,1659200332
Havøysund,70.9963,24.6622,55.63,81,100,19.33,NO,1659200133
Lompoc,34.6391,-120.4579,70.92,85,20,4.0,US,1659200301
Vinukonda,16.05,79.75,84.97,66,100,6.8,IN,1659200339
Sakakah,29.9697,40.2064,110.77,8,2,12.17,SA,1659200341
Goroka,-6.0834,145.3873,57.9,95,40,0.54,PG,1659200344
Christchurch,-43.5333,172.6333,41.92,91,100,13.8,NZ,1659200106
Olinda,-8.0089,-34.8553,74.93,83,75,10.36,BR,1659200348
Algiers,36.7525,3.042,84.02,66,20,14.97,DZ,1659200350
Balassagyarmat,48.073,19.2961,69.44,75,99,13.67,HU,1659200353
Bereda,43.2686,-7.5406,72.14,79,0,9.01,ES,1659200348
Yulin,22.6333,110.15,78.17,85,99,1.48,CN,1659200357
Ende,-8.8432,121.6623,73.78,89,91,3.56,ID,1659200360
Evensk,61.95,159.2333,49.35,90,100,16.08,RU,1659200362
Shenzhen,22.5455,114.0683,86.27,90,49,0.98,CN,1659200302
Dustlik,40.5247,68.0358,83.03,23,52,9.01,UZ,1659200366
Chīpurupalle,18.3,83.5667,81.05,82,100,6.17,IN,1659200369
Kyshtovka,56.555,76.6271,64.69,76,86,6.15,RU,1659200371
Madang,-5.2246,145.7966,74.71,92,44,2.73,PG,1659200373
Bida,9.0833,6.0167,80.29,83,84,3.31,NG,1659200376
Davila,18.4726,120.5763,82.26,82,90,10.63,PH,1659200378
Viedma,-40.8135,-62.9967,59.49,46,100,7.52,AR,1659200380
Bud,39.447,-86.1758,81.01,58,98,5.41,US,1659200383
Savannah Bight,16.45,-85.85,82.27,78,47,17.2,HN,1659200385
Mabaruma,8.2,-59.7833,85.28,66,96,3.91,GY,1659200387
Virden,39.5009,-89.7679,81.09,66,19,3.87,US,1659200390
Nazas,25.2333,-104.1333,81.66,38,99,11.97,MX,1659200392
Omboué,-1.5746,9.2618,74.35,79,84,7.85,GA,1659200394
Xining,36.6167,101.7667,55.51,85,60,3.98,CN,1659200179
Sungai Penuh,-2.0833,101.3833,64.58,88,100,1.19,ID,1659200399
Saint-Joseph,-21.3667,55.6167,66.58,74,39,14.45,RE,1659200401
Okhotsk,59.3833,143.3,57.74,93,100,10.51,RU,1659200404
Aquiraz,-3.9014,-38.3911,85.44,75,65,10.09,BR,1659200406
Ylöjärvi,61.5563,23.5961,62.94,63,0,6.91,FI,1659200409
Naftalan,40.5067,46.825,84.81,37,15,18.95,AZ,1659200411
Verkhnetulomskiy,68.6073,31.7962,51.93,97,100,6.46,RU,1659200414
Erenhot,43.6475,111.9767,74.26,49,32,17.85,CN,1659200416
Deputatsky,69.3,139.9,49.12,88,99,2.82,RU,1659200419
Santa Maria,-29.6842,-53.8069,60.1,55,0,4.61,BR,1659200232
Kui Buri,12.0828,99.8543,79.61,87,100,6.55,TH,1659200423
Shenjiamen,29.9576,122.298,80.02,85,77,5.01,CN,1659200426
Cookeville,36.1628,-85.5016,82.8,80,0,3.44,US,1659200425
Cabedelo,-6.9811,-34.8339,73.8,93,100,9.01,BR,1659200430
Pringsewu,-5.3582,104.9744,72.86,95,100,1.9,ID,1659200433
Alta Floresta,-9.8756,-56.0861,99.07,15,16,0.65,BR,1659200413
Liverpool,53.4106,-2.9779,71.55,77,40,13.8,GB,1659200356
Saint George,37.1041,-113.5841,86.43,52,75,3.0,US,1659200344
Ledyard Center,41.4398,-72.0142,87.19,41,0,4.0,US,1659200411
Pacifica,37.6138,-122.4869,72.41,93,100,10.36,US,1659200444
Harbour Breton,47.4833,-55.7983,63.93,98,100,8.72,CA,1659200446
Saint-Pierre,-21.3393,55.4781,70.92,75,0,8.05,RE,1659200448
Jumla,29.2747,82.1838,63.28,97,98,0.69,NP,1659200451
Maceió,-9.6658,-35.7353,83.64,74,75,11.5,BR,1659200269
Palmer,42.1584,-72.3287,84.43,50,0,1.99,US,1659200455
Ambulu,-8.345,113.6058,71.98,90,83,3.27,ID,1659200458
Arroyo de la Encomienda,41.6096,-4.7969,91.44,28,0,11.5,ES,1659200460
Murray Bridge,-35.1167,139.2667,56.12,52,100,13.67,AU,1659200462
Coquimbo,-29.9533,-71.3436,59.56,73,100,7.34,CL,1659200465
Luena,-11.7833,19.9167,66.52,17,11,0.78,AO,1659200467
Port Macquarie,-31.4333,152.9167,43.9,88,31,5.95,AU,1659200470
Sioux Lookout,50.1001,-91.917,78.49,39,0,11.27,CA,1659200472
Krasnyy Yar,46.5331,48.3456,85.93,44,74,7.2,RU,1659200475
Baijiantan,45.6333,85.1833,82.35,35,95,13.49,CN,1659200477
Hofn,64.2539,-15.2082,50.94,61,100,9.64,IS,1659200365
Yumbing,9.2393,124.6578,81.88,77,100,4.5,PH,1659200482
Le Port,-20.9373,55.2919,71.26,60,33,9.69,RE,1659200484
Srednekolymsk,67.45,153.6833,53.78,53,4,7.96,RU,1659200486
Nouakchott,18.0858,-15.9785,82.33,74,81,12.59,MR,1659200489
Lawrenceburg,38.0373,-84.8966,82.98,57,20,1.99,US,1659200491
Kibala,9.1104,18.3463,75.24,88,54,2.08,TD,1659200442
Geraldton,-28.7667,114.6,52.21,93,100,8.05,AU,1659200495
Aranos,-24.1333,19.1167,62.42,20,28,11.99,NA,1659200498
Sosnovo-Ozerskoye,52.5249,111.5418,52.07,92,15,5.21,RU,1659200500
Tual,-5.6667,132.75,78.69,85,97,19.91,ID,1659200502
Haines Junction,60.7522,-137.5108,61.43,67,98,3.29,CA,1659200505
Vezirköprü,41.1436,35.4547,81.09,64,0,4.92,TR,1659200507
Yoichi,43.2039,140.7703,71.37,82,39,8.75,JP,1659200509
Victor Harbor,-35.5667,138.6167,57.0,50,100,1.99,AU,1659200512
Sladkovo,55.5284,70.3385,61.29,87,49,7.78,RU,1659200514
Maragogi,-9.0122,-35.2225,79.99,74,87,9.62,BR,1659200516
Mahibadhoo,3.7833,72.9667,79.65,82,100,17.52,MV,1659200519
Piaçabuçu,-10.4056,-36.4344,80.24,71,44,10.42,BR,1659200521
Masuguru,-11.3667,38.4167,78.62,37,20,4.25,TZ,1659200523
Kholtoson,50.2981,103.3097,54.68,79,50,3.83,RU,1659200526
Seoul,37.5683,126.9778,80.04,79,97,3.67,KR,1659200471
Capoterra,39.1763,8.9718,93.54,38,0,17.27,IT,1659200530
Kourou,5.1552,-52.6478,86.05,72,8,6.44,GF,1659200533
Rovaniemi,66.5,25.7167,54.81,71,75,11.5,FI,1659200455
Janów Lubelski,50.707,22.4104,71.22,89,100,10.6,PL,1659200537
Sawākin,19.1059,37.3321,93.11,47,10,6.62,SD,1659200540
Poum,-20.2333,164.0167,71.76,79,92,27.54,NC,1659200542
Luganville,-15.5333,167.1667,75.42,85,98,0.49,VU,1659200478
Dongsheng,39.8161,109.9776,66.42,79,84,18.39,CN,1659200546
Xingyi,24.1877,102.817,62.4,92,61,1.36,CN,1659200549
Bonoua,5.2741,-3.595,80.22,76,100,7.81,CI,1659200475
Cayenne,4.9333,-52.3333,86.04,11,40,5.01,GF,1659200278
Jiujiang,29.7333,115.9833,79.97,83,11,3.69,CN,1659200555
Aswān,24.0934,32.907,99.3,12,2,9.93,EG,1659200558
Seymchan,62.8833,152.4333,46.31,64,0,4.25,RU,1659200560
Conceição do Araguaia,-8.2578,-49.2647,101.77,18,8,2.82,BR,1659200562
Mount Isa,-20.7333,139.5,49.77,71,68,0.0,AU,1659200565
Międzychód,52.5988,15.897,76.82,78,100,2.95,PL,1659200567
Bacolod City,10.6667,122.95,77.86,88,99,7.11,PH,1659200430
Ust'-Omchug,61.15,149.6333,50.85,84,67,6.15,RU,1659200538
Qui Nhon,13.7667,109.2333,79.05,86,100,5.17,VN,1659200574
Qian’an,44.9932,124.0581,71.94,97,7,9.44,CN,1659200576
Tuy Hoa,13.0833,109.3,79.02,88,100,4.36,VN,1659200387
Duku,11.2361,4.9073,80.73,74,93,2.77,NG,1659200580
Dibulla,11.2725,-73.3091,91.63,51,10,11.43,CO,1659200583
Salinas,36.6777,-121.6555,68.83,76,40,5.75,US,1659200509
Bereket,39.2446,55.5154,89.47,37,17,14.65,TM,1659200587
Isabela,6.7085,121.9711,78.66,85,100,2.01,PH,1659200590
Burns Lake,54.2331,-125.7533,74.66,42,1,2.46,CA,1659200409
Soubre,5.7856,-6.6083,79.54,67,89,5.28,CI,1659200594
Naryan-Mar,67.6713,53.087,63.01,58,58,10.11,RU,1659200596
Vetlanda,57.4289,15.0776,68.47,43,96,3.36,SE,1659200599
Tonstad,58.6626,6.7169,64.09,64,100,9.64,NO,1659200601
Naze,28.3667,129.4833,79.72,88,100,27.65,JP,1659200349
Wilmington,34.2257,-77.9447,93.11,69,68,1.99,US,1659200406
Sitka,57.0531,-135.33,60.69,88,100,4.61,US,1659200589
Islamkot,24.6997,70.177,83.26,74,96,18.41,PK,1659200610
Jacareacanga,-6.2222,-57.7528,97.86,23,95,2.73,BR,1659200612
Renqiu,38.6989,116.0936,79.75,77,48,3.33,CN,1659200615
Balkanabat,39.5108,54.3671,85.53,47,1,10.04,TM,1659200617
Bonavista,48.6499,-53.1147,63.91,90,100,15.68,CA,1659200619
Halifax,44.6453,-63.5724,67.69,98,100,1.99,CA,1659200586
‘Ewa Beach,21.3156,-158.0072,78.1,80,36,10.0,US,1659200416
Saint-Louis,16.3333,-15.0,85.96,52,100,13.53,SN,1659200626
Omsukchan,62.5333,155.8,45.9,82,35,4.59,RU,1659200628
Vao,-22.6667,167.4833,66.51,86,100,25.77,NC,1659200630
Bembèrèkè,10.2283,2.6634,78.24,83,57,2.93,BJ,1659200633
Urubichá,-15.3833,-62.95,86.65,27,0,3.78,BO,1659200635
Kirakira,-10.4544,161.9205,77.61,83,70,6.29,SB,1659200371
Darhan,49.4867,105.9228,62.94,55,15,5.3,MN,1659200639
Benguela,-12.5763,13.4055,70.14,79,11,7.7,AO,1659200433
Pecos,31.4229,-103.4932,93.29,27,0,9.22,US,1659200468
Batemans Bay,-35.7167,150.1833,47.1,76,72,7.11,AU,1659200646
Port Moresby,-9.4431,147.1797,74.25,92,48,10.42,PG,1659200648
Diapaga,12.0708,1.7889,86.45,56,43,3.8,BF,1659200651
Sabha,27.0377,14.4283,98.87,10,0,8.95,LY,1659200653
Vestmanna,62.1564,-7.1664,49.12,81,75,10.36,FO,1659200655
Mana,5.6592,-53.7767,83.34,72,5,7.54,GF,1659200658
Ullapool,57.8987,-5.1604,59.34,85,96,6.98,GB,1659200660
Pangkalanbuun,-2.6833,111.6167,73.45,97,100,1.99,ID,1659200662
Nkhotakota,-12.9274,34.2961,68.2,67,4,2.93,MW,1659200665
Muros,42.7762,-9.0603,89.69,48,0,16.44,ES,1659200667
Thunder Bay,48.4001,-89.3168,73.65,50,5,7.67,CA,1659200470
Moose Factory,51.2585,-80.6094,65.77,70,100,10.16,CA,1659200565
Ahipara,-35.1667,173.1667,52.97,79,52,14.14,NZ,1659200674
Srandakan,-7.9386,110.2506,74.98,83,61,9.01,ID,1659200676
Ghugus,19.9333,79.1333,81.91,79,98,4.29,IN,1659200678
Ochakiv,46.6128,31.5498,82.02,41,8,12.28,UA,1659200681
São João da Barra,-21.6403,-41.0511,71.69,64,81,14.83,BR,1659200683
Mnogovershinnyy,53.9353,139.9242,53.55,99,100,4.25,RU,1659200685
Nipawin,53.3668,-104.0009,64.44,82,75,4.61,CA,1659200688
Weinan,34.5036,109.5089,77.05,70,0,3.22,CN,1659200690
Yārāda,17.65,83.2667,84.52,89,40,3.44,IN,1659200692
Beira,-19.8436,34.8389,68.72,78,0,8.75,MZ,1659200695
Kiunga,-6.1219,141.2906,73.04,99,84,2.1,PG,1659200697
Bumba,2.1833,22.4667,72.34,91,72,2.64,CD,1659200699
Diamantino,-14.4086,-56.4461,93.16,23,25,0.96,BR,1659200412
Posse,-14.0931,-46.3694,89.17,14,18,6.98,BR,1659200704
Vagay,57.9375,69.0217,59.52,92,70,4.23,RU,1659200706
Caravelas,-17.7125,-39.2481,79.93,62,22,5.95,BR,1659200513
Morant Bay,17.8815,-76.4093,91.71,70,10,11.81,JM,1659200711
Matagami,49.7502,-77.6328,72.84,54,84,11.56,CA,1659200713
Borovskoy,53.8,64.15,63.84,72,43,7.76,KZ,1659200715
Yaya,56.206,86.44,63.45,87,89,2.3,RU,1659200718
Lixouri,38.2019,20.4314,87.8,58,0,13.8,GR,1659200720
Arezzo,43.4724,11.869,85.15,42,37,7.58,IT,1659200719
Kingisepp,59.3733,28.6134,62.67,70,21,4.7,RU,1659200724
Kibi,6.1649,-0.5538,78.73,68,98,3.69,GH,1659200727
Wamba,8.9333,8.6,75.51,88,97,0.74,NG,1659200729
